date, value
2014-04-04,101.1400
2014-04-07,100.4400
2014-04-08,102.5600
2014-04-09,103.6000
2014-04-10,103.4000
2014-04-11,103.7400
2014-04-14,104.0500
2014-04-15,103.7500
2014-04-16,103.6140
2014-04-17,103.9280
2014-04-21,103.9380
2014-04-22,101.8260
2014-04-23,101.4400
2014-04-24,101.9400
2014-04-25,100.6000
2014-04-28,100.8400
2014-04-29,101.2800
2014-04-30,99.7400
2014-05-01,99.4200
2014-05-02,99.7600
2014-05-05,99.4800
2014-05-06,99.5000
2014-05-07,100.7700
2014-05-08,100.2600
2014-05-09,99.9900
2014-05-12,100.5900
2014-05-13,101.7000
2014-05-14,102.3700
2014-05-15,101.4260
2014-05-16,101.8440
2014-05-19,102.3100
2014-05-20,102.3520
2014-05-21,104.0700
2014-05-22,103.7400
2014-05-23,104.3500
2014-05-27,104.1100
2014-05-28,102.7200
2014-05-29,103.5800
2014-05-30,102.7100
2014-06-02,102.4700
2014-06-03,102.6600
2014-06-04,102.6400
2014-06-05,102.4800
2014-06-06,102.6600
2014-06-09,104.4100
2014-06-10,104.3500
2014-06-11,104.4000
2014-06-12,106.5300
2014-06-13,106.9100
2014-06-16,106.9000
2014-06-17,106.2620
2014-06-18,105.8180
2014-06-19,106.2020
2014-06-20,106.9160
2014-06-23,106.1700
2014-06-24,106.0300
2014-06-25,106.5000
2014-06-26,105.8400
2014-06-27,105.7400
2014-06-30,105.3700
2014-07-01,105.3400
2014-07-02,104.4800
2014-07-03,104.0600
2014-07-07,103.5300
2014-07-08,103.4000
2014-07-09,102.2900
2014-07-10,102.9300
2014-07-11,100.8300
2014-07-14,100.9100
2014-07-15,99.9600
2014-07-16,101.2000
2014-07-17,102.9920
2014-07-18,102.6580
2014-07-21,103.5520
2014-07-22,102.7960
2014-07-23,103.1200
2014-07-24,102.0700
2014-07-25,102.0900
2014-07-28,101.6700
2014-07-29,100.9700
2014-07-30,100.2700
2014-07-31,98.1700
2014-08-01,97.8800
2014-08-04,98.2900
2014-08-05,97.3800
2014-08-06,96.9200
2014-08-07,97.3400
2014-08-08,97.6500
2014-08-11,98.0800
2014-08-12,97.3700
2014-08-13,97.5900
2014-08-14,95.5800
2014-08-15,96.9440
2014-08-18,95.3460
2014-08-19,93.5080
2014-08-20,93.9740
2014-08-21,93.9600
2014-08-22,93.6500
2014-08-25,93.3500
2014-08-26,93.8600
2014-08-27,93.8800
2014-08-28,94.5500
2014-08-29,95.9600
2014-09-02,92.8800
2014-09-03,95.5400
2014-09-04,94.4500
2014-09-05,93.2900
2014-09-08,92.6600
2014-09-09,92.7500
2014-09-10,91.6700
2014-09-11,92.8300
2014-09-12,92.2700
2014-09-15,92.9200
2014-09-16,94.8800
2014-09-17,94.1760
2014-09-18,92.6340
2014-09-19,91.9540
2014-09-22,91.0000
2014-09-23,91.5600
2014-09-24,92.8000
2014-09-25,92.5300
2014-09-26,93.5400
2014-09-29,94.5700
2014-09-30,91.1600
2014-10-01,90.7300
2014-10-02,91.0100
2014-10-03,89.7400
2014-10-06,90.3400
2014-10-07,88.8500
2014-10-08,87.3100
2014-10-09,85.7700
2014-10-10,85.8200
2014-10-13,85.7400
2014-10-14,81.8400
2014-10-15,81.7800
2014-10-16,82.5500
2014-10-17,82.4740
2014-10-20,82.2300
2014-10-21,82.5540
2014-10-22,80.5200
2014-10-23,82.0900
2014-10-24,81.0100
2014-10-27,81.0000
2014-10-28,81.4200
2014-10-29,82.2000
2014-10-30,81.1200
2014-10-31,80.5400
2014-11-03,78.7800
2014-11-04,77.1900
2014-11-05,78.6800
2014-11-06,77.9100
2014-11-07,78.6500
2014-11-10,77.4000
2014-11-11,77.9400
2014-11-12,77.1800
2014-11-13,74.2100
2014-11-14,75.8200
2014-11-17,75.6440
2014-11-18,74.6220
2014-11-19,74.5320
2014-11-20,75.7960
2014-11-21,76.5100
2014-11-24,75.7800
2014-11-25,74.0900
2014-11-26,73.6900
2014-11-28,66.1500
2014-12-01,69.0000
2014-12-02,66.8800
2014-12-03,67.3800
2014-12-04,66.8100
2014-12-05,65.8400
2014-12-08,63.0500
2014-12-09,63.8200
2014-12-10,60.9400
2014-12-11,59.9500
2014-12-12,57.8100
2014-12-15,55.9100
2014-12-16,55.9960
2014-12-17,56.5980
2014-12-18,54.2600
2014-12-19,57.0080
2014-12-22,55.2600
2014-12-23,57.1200
2014-12-24,55.8400
2014-12-26,54.7300
2014-12-29,53.6100
2014-12-30,54.1200
2014-12-31,53.2700
2015-01-02,52.6900
2015-01-05,50.0400
2015-01-06,47.9300
2015-01-07,48.6500
2015-01-08,48.7900
2015-01-09,48.3600
2015-01-12,46.0700
2015-01-13,45.8900
2015-01-14,48.5760
2015-01-15,46.4420
2015-01-16,48.9540
2015-01-20,46.4540
2015-01-21,47.7800
2015-01-22,46.3100
2015-01-23,45.5900
2015-01-26,45.1500
2015-01-27,46.2300
2015-01-28,44.4500
2015-01-29,44.5300
2015-01-30,48.2400
2015-02-02,49.5700
2015-02-03,53.0500
2015-02-04,48.4500
2015-02-05,50.4800
2015-02-06,51.6900
2015-02-09,52.8600
2015-02-10,50.0200
2015-02-11,48.8400
2015-02-12,51.2100
2015-02-13,52.7800
2015-02-17,53.6820
2015-02-18,52.4120
2015-02-19,51.5620
2015-02-20,50.7160
2015-02-23,49.4500
2015-02-24,49.2800
2015-02-25,50.9900
2015-02-26,48.1700
2015-02-27,49.7600
2015-03-02,49.5900
2015-03-03,50.5200
2015-03-04,51.5300
2015-03-05,50.7600
2015-03-06,49.6100
2015-03-09,50.0000
2015-03-10,48.2900
2015-03-11,48.1700
2015-03-12,47.0500
2015-03-13,44.8400
2015-03-16,43.8800
2015-03-17,43.8060
2015-03-18,45.4560
2015-03-19,44.9020
2015-03-20,46.4000
2015-03-23,47.4500
2015-03-24,47.5100
2015-03-25,49.2100
2015-03-26,51.4300
2015-03-27,48.8700
2015-03-30,48.6800
2015-03-31,47.6000
2015-04-01,50.0900
2015-04-02,49.1400
2015-04-06,52.1400
2015-04-07,53.9800
2015-04-08,50.4200
2015-04-09,50.7900
2015-04-10,51.6400
2015-04-13,51.9100
2015-04-14,53.2900
2015-04-15,56.3900
2015-04-16,56.9900
2015-04-17,56.3720
2015-04-20,57.2800
2015-04-21,56.3400
2015-04-22,56.1600
2015-04-23,57.7400
2015-04-24,57.1500
2015-04-27,56.9900
2015-04-28,57.0600
2015-04-29,58.5800
2015-04-30,59.6300
2015-05-01,59.1500
2015-05-04,58.9300
2015-05-05,60.4000
2015-05-06,60.9300
2015-05-07,58.9400
2015-05-08,59.3900
2015-05-11,59.2500
2015-05-12,60.7500
2015-05-13,60.5000
2015-05-14,60.0720
2015-05-15,60.0300
2015-05-18,59.9160
2015-05-19,57.8440
2015-05-20,58.9800
2015-05-21,60.7200
2015-05-22,59.7200
2015-05-26,58.0300
2015-05-27,57.5100
2015-05-28,57.6800
2015-05-29,60.3000
2015-06-01,60.2000
2015-06-02,61.2600
2015-06-03,59.6400
2015-06-04,58.0000
2015-06-05,59.1300
2015-06-08,58.1400
2015-06-09,60.1400
2015-06-10,61.4300
2015-06-11,60.7700
2015-06-12,59.9600
2015-06-15,59.5200
2015-06-16,59.9700
2015-06-17,60.0020
2015-06-18,60.5980
2015-06-19,59.8260
2015-06-22,60.2400
2015-06-23,61.0100
2015-06-24,60.2700
2015-06-25,59.7000
2015-06-26,59.6300
2015-06-29,58.3300
2015-06-30,59.4700
2015-07-01,56.9600
2015-07-02,56.9300
2015-07-06,52.5300
2015-07-07,52.3300
2015-07-08,51.6500
2015-07-09,52.7800
2015-07-10,52.7400
2015-07-13,52.2000
2015-07-14,53.0400
2015-07-15,51.4100
2015-07-16,50.9760
2015-07-17,51.0180
2015-07-20,50.3240
2015-07-21,50.7600
2015-07-22,49.1900
2015-07-23,48.4500
2015-07-24,48.1400
2015-07-27,47.3900
2015-07-28,47.9800
2015-07-29,48.7900
2015-07-30,48.5200
2015-07-31,47.1200
2015-08-03,45.1700
2015-08-04,45.7400
2015-08-05,45.1500
2015-08-06,44.6600
2015-08-07,43.8700
2015-08-10,44.9600
2015-08-11,43.0800
2015-08-12,43.3000
2015-08-13,42.2300
2015-08-14,42.5000
2015-08-17,41.9780
2015-08-18,42.8200
2015-08-19,41.0820
2015-08-20,41.2840
2015-08-21,40.4500
2015-08-24,38.2400
2015-08-25,39.3100
2015-08-26,38.6000
2015-08-27,42.5600
2015-08-28,45.2200
2015-08-31,49.2000
2015-09-01,45.4100
2015-09-02,46.2500
2015-09-03,46.7500
2015-09-04,46.0500
2015-09-08,45.9400
2015-09-09,44.1500
2015-09-10,45.9200
2015-09-11,44.6300
2015-09-14,44.0000
2015-09-15,44.5900
2015-09-16,47.1500
2015-09-17,46.9600
2015-09-18,44.8160
2015-09-21,46.8480
2015-09-22,46.2540
2015-09-23,44.4800
2015-09-24,44.9100
2015-09-25,45.7000
2015-09-28,44.4300
2015-09-29,45.2300
2015-09-30,45.0900
2015-10-01,44.7400
2015-10-02,45.5400
2015-10-05,46.2600
2015-10-06,48.5300
2015-10-07,47.8100
2015-10-08,49.4300
2015-10-09,49.6300
2015-10-12,47.1000
2015-10-13,46.6600
2015-10-14,46.6400
2015-10-15,46.4780
2015-10-16,47.4440
2015-10-19,46.1240
2015-10-20,46.1420
2015-10-21,45.2000
2015-10-22,45.3800
2015-10-23,44.6000
2015-10-26,43.9800
2015-10-27,43.2000
2015-10-28,45.9400
2015-10-29,46.0600
2015-10-30,46.5900
2015-11-02,46.1400
2015-11-03,47.9000
2015-11-04,46.3200
2015-11-05,45.2000
2015-11-06,44.2900
2015-11-09,43.8700
2015-11-10,44.2100
2015-11-11,42.9300
2015-11-12,41.7500
2015-11-13,40.7400
2015-11-16,41.7400
2015-11-17,40.8780
2015-11-18,41.2300
2015-11-19,41.2480
2015-11-20,41.5980
2015-11-23,41.7500
2015-11-24,42.8700
2015-11-25,43.0400
2015-11-27,41.7100
2015-11-30,41.6500
2015-12-01,41.8500
2015-12-02,39.9400
2015-12-03,41.0800
2015-12-04,39.9700
2015-12-07,37.6500
2015-12-08,37.5100
2015-12-09,37.1600
2015-12-10,36.7600
2015-12-11,35.6200
2015-12-14,36.3100
2015-12-15,37.3500
2015-12-16,35.7660
2015-12-17,35.4780
2015-12-18,35.5280
2015-12-21,35.5960
2015-12-22,36.1400
2015-12-23,37.5000
2015-12-24,38.1000
2015-12-28,36.8100
2015-12-29,37.8700
2015-12-30,36.6000
2015-12-31,37.0400
2016-01-04,36.7600
2016-01-05,35.9700
2016-01-06,33.9700
2016-01-07,33.2700
2016-01-08,33.1600
2016-01-11,31.4100
2016-01-12,30.4400
2016-01-13,30.4800
2016-01-14,31.3820
2016-01-15,29.8080
2016-01-19,29.1260
2016-01-20,27.9900
2016-01-21,29.5300
2016-01-22,32.1900
2016-01-25,30.3400
2016-01-26,31.4500
2016-01-27,32.3000
2016-01-28,33.2200
2016-01-29,33.6200
2016-02-01,31.6200
2016-02-02,29.8800
2016-02-03,32.2800
2016-02-04,31.7200
2016-02-05,30.8900
2016-02-08,29.6900
2016-02-09,27.9400
2016-02-10,27.4500
2016-02-11,26.2100
